Question,Response,Response Time
Where can I look for tips on nutrition and maintaining a healthy weight here?,"To look for tips on nutrition and maintaining a healthy weight, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""nutrition"" or ""healthy weight"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",6.421669
Where can I find information about safe sexual health practices on this website?,"To find information about safe sexual health practices, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""sexual health"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",5.687284
How do I navigate to learn more about sexually transmitted infections here?,"To learn more about sexually transmitted infections, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""sexually transmitted infections"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.554978
Where can I find information about substance use on this website?,"To find information about substance use, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""substance use"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",6.531933
"How do I navigate to the sections about alcohol, drugs, and smoking?","To navigate to the sections about alcohol, drugs, and smoking, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""substance use"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",6.79191
Where can I find information about parenting services in Washington?,"To find information about parenting services in Washington, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""parenting services"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.117913
How do I access primary healthcare services in Washington on this website?,"To access information about primary healthcare services in Washington, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""Primary Healthcare Access"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.676249
What sections can I explore on this website related to identity and culture?,"You can explore sections related to identity and culture by opening the Atlas map and navigating to the themes icon. Look for subcategories such as cultural identity, language, and religion. These sections provide insights into the cultural backgrounds and affiliations of children and young people.",6.439519
How can I find information about different cultural themes and regions on this site?,"To find information about different cultural themes and regions, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""identity and culture"" in the search box. If data is available, you can select the relevant subcategory related to cultural themes and regions from the drop-down options.",6.474063
How can I find information about children who speak languages other than English on this website?,"To find information about children who speak languages other than English, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""language"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",6.50689
Where can I look for resources related to young people learning English here?,"To look for resources related to young people learning English, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""language"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",6.397275
What sections of the website can I explore about young people's views on religion?,"To explore young people's views on religion, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""religion"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",11.147793
Where can I find information on the differences between those with and without religious affiliations?,"To find information on the differences between those with and without religious affiliations, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""religion"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.550048
What sections can I explore on this website related to early childhood development?,You can explore sections related to early childhood development by opening the Atlas map and navigating to the themes icon. Look for subcategories such as the Australian Early Development Census (AEDC) and various developmental domains. These sections provide insights into children's development during early childhood.,7.410094
Where can I find information about the different domains like communication skills and emotional maturity?,"To find information about different domains like communication skills and emotional maturity, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""Australian early development census"" or ""AEDC"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",8.582191
Where can I find information about the average NAPLAN scores for different subjects?,"To find information about the average NAPLAN scores for different subjects, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""average NAPLAN score"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.678888
"How do I navigate to the sections on grammar and punctuation, reading, and writing?","To navigate to the sections on grammar and punctuation, reading, and writing, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""average NAPLAN score"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options.",6.258931
Where can I find information about preschool enrollment rates on this website?,"To find information about preschool enrollment rates, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""early childhood education and care"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.266284
How do I navigate to the section about childcare availability and statistics?,"To navigate to the section about childcare availability and statistics, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""early childhood education and care"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.131402
Can you help me find information about how many students like or dislike school on this website?,"To find information about how many students like or dislike school, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""liking school"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.509806
Where can I look for different themes related to students' feelings about school?,"To look for different themes related to students' feelings about school, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""liking school"" or ""sense of belonging at school"" in the search box. If data is available, you can select the relevant subcategories from the drop-down options.",8.827496
Where can I find information about school attendance for both government and non-government schools on this website?,"To find information about school attendance for both government and non-government schools, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""school attendance"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.649627
How do I navigate to the section that talks about all types of schools and their attendance levels?,"To navigate to the section that talks about all types of schools and their attendance levels, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""school attendance"" in the search box. If data is available, you can select the relevant subcategory that includes attendance levels for all types of schools from the drop-down options.",7.453203
Where can I find information about school attendance rates for both government and non-government schools?,"To find information about school attendance rates for both government and non-government schools, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""school attendance rate"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",6.866721
How do I navigate to the section that compares attendance in all types of schools?,"To navigate to the section that compares attendance in all types of schools, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""school attendance"" in the search box. If data is available, you can select the relevant subcategory that compares attendance across different school types from the drop-down options.",7.034366
What sections of the website can I explore to learn about students' feelings of belonging at school?,"To learn about students' feelings of belonging at school, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""sense of belonging at school"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.131786
Where can I find information about how students connect with their teachers on this website?,"To find information about how students connect with their teachers, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""emotional engagement with teachers"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",6.492056
Can you help me find information about youth participation in education on this website?,"To find information about youth participation in education, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""youth participation in education"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",6.112101
Where can I look for details about the highest year of school completed by students?,"To look for details about the highest year of school completed by students, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""highest year of school completed"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",9.261155
Where can I find information about homelessness services on this website?,"To find information about homelessness services, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""homelessness"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",6.274379
How do I navigate to the section that discusses housing amenities?,"To navigate to the section that discusses housing amenities, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""housing amenity"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",6.346906
What sections can I explore to learn more about the Socio-economic Indexes of Australia?,"To learn more about the Socio-economic Indexes of Australia, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""Socio-economic Indexes of Australia"" or ""SEIFA"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",8.417166
How can I find information on the different indexes like the Index of Economic Resources or the Index of Education and Occupation on this website?,"To find information on the different indexes like the Index of Economic Resources or the Index of Education and Occupation, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""Socio-economic Indexes of Australia"" or ""SEIFA"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",9.334928
Can you help me find information about stable housing for low-income households on this website?,"To find information about stable housing for low-income households, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""low-income household"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",8.278818
"Where can I look for resources related to living in a household that earns less than $1,000 a week?","To look for resources related to living in a household that earns less than $1,000 a week, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""low-income household"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.925828
Where can I find information about youth unemployment on this website?,"To find information about youth unemployment, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""youth unemployment"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",8.749759
How do I locate resources for unemployed individuals looking for full-time work?,"To locate resources for unemployed individuals looking for full-time work, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""youth unemployment"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.174564
What sections on this website can I explore to learn about community activities and places?,"To learn about community activities and places, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Look for sections related to ""Connection to community"" or ""community has fun places."" If data is available, you can select the relevant subcategory from the drop-down options.",11.223395
How can I find information on how adults engage with young people in my community on this site?,"To find information on how adults engage with young people in your community, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""Adults listening to young people"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",7.673262
What sections on this website talk about volunteering opportunities for young people?,"To find sections that talk about volunteering opportunities for young people, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""volunteering"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",9.541976
How can I find information about unpaid voluntary work on this site?,"To find information about unpaid voluntary work, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""volunteering"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.353815
Where can I find information about voting enrolment on this website?,"To find information about voting enrolment, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""voting enrolment"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",11.136326
How do I check the number and proportion of people enrolled to vote?,"To check the number and proportion of people enrolled to vote, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""voting enrolment"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",8.306132
Where can I find information about child protection and care orders on this website?,"To find information about child protection and care orders, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""child protection"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",9.794305
How do I navigate to details about children in out-of-home care and their discharge process?,"To navigate to details about children in out-of-home care and their discharge process, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""children admitted to out-of-home care"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.268299
Can you help me find information about children and young people who are victims of crime on this website?,"To find information about children and young people who are victims of crime, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""children and young people as victims of crime"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",12.298509
Where can I locate resources related to victims of domestic violence and sexual assault?,"To locate resources related to victims of domestic violence and sexual assault, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""victims of domestic violence related assault"" or ""victims of sexual assault"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.238412
Can you help me find information about one parent families with children under 15 on this website?,"To find information about one parent families with children under 15, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""one parent families with children under 15 years old"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",8.591139
Where can I look for resources related to same-sex parent families with dependent children?,"To look for resources related to same-sex parent families with dependent children, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""same sex parent families with dependent children"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.456706
What sections of the website can I explore to learn more about family conflict and how to address it?,"To learn more about family conflict and how to address it, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""family conflict"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",9.151056
Where can I find resources related to family fighting and support on this website?,"To find resources related to family fighting and support, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""family fighting"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.92649
Can you help me find information about youth justice on this website?,"To find information about youth justice, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""youth justice"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",9.709984
Where can I learn more about young people under community-based supervision?,"To learn more about young people under community-based supervision, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""young people under community-based supervision"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.834014
What sections can I explore to find information about positive peer relationships?,"To find information about positive peer relationships, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""positive peer relationships"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.11857
Where can I locate resources related to friends and wellbeing on this website?,"To locate resources related to friends and wellbeing, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""friends – Wellbeing Engagement Collection"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.395565
What sections of the website focus on safe environments and community safety?,"To find sections that focus on safe environments and community safety, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""safe environments"" or ""experiences of violence"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",11.293066
How can I find information about experiences of violence and safety surveys in my area?,"To find information about experiences of violence and safety surveys in your area, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""experiences of violence"" or ""safety surveys"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.166637
What sections of the website can I explore to find information on seeking support from others?,"To find information on seeking support from others, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""seeking support"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",12.545871
"Where can I find resources related to feeling valued, loved, and safe on this site?","To find resources related to feeling valued, loved, and safe, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""valued, loved and safe"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",9.580653
How can I find information about young people who have committed different types of offences?,"To find information about young people who have committed different types of offences, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""young people offending"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.585881
"Where can I look for details about specific offences like burglary, drug offences, or graffiti on this website?","To look for details about specific offences like burglary, drug offences, or graffiti, open the Atlas map, navigate to the right-hand side pane, and click on the themes icon. Type ""young people offending"" in the search box. If data is available, you can select the relevant subcategory from the drop-down options.",10.951047
Where can I find all the different filters on this website?,"You can find all the different filters on the Atlas maps by navigating to the right-hand side pane. Look for options to filter by Age & Sex, Collection Year(s), and Statistical Area. Additionally, you can filter by Political Areas and Service Layers.",10.254007
How do I navigate to the various themes and subcategories available here?,"To navigate to the various themes and subcategories, open the Atlas map and look for the right-hand side pane. Click on the themes icon, and you can type your theme of interest in the search box. If data is available, you can select from the relevant subcategories that appear in the drop-down options.",11.079902
Can you help me find the sections about age and sex on this website?,"To find the sections about age and sex, open the Atlas map, navigate to the right-hand side pane, and click on the fingerprint icon. This will allow you to filter data by age groups and sex breakdown. You can select the options of interest from there.",18.284516
Where can I look for information related to age and sex in the different themes?,"To look for information related to age and sex in the different themes, open the Atlas map, navigate to the right-hand side pane, and click on the fingerprint icon. This will allow you to filter data by specific age groups and sex breakdowns within the themes. Select the options that interest you to view the relevant data.",6.504552
How can I find information about my specific region on this website?,"To find information about your specific region, open the Atlas map and enter your region or area of interest into the search box on the top left-hand corner of the screen. Alternatively, you can select your region from the box located below the theme menu and click the arrow to zoom into your current location. You can also click anywhere on the interactive map to zoom in on that area.",10.147288
Where can I look for data related to different regions on this site?,"To look for data related to different regions, open the Atlas map and enter your region or area of interest into the search box on the top left-hand corner. You can also select your region from the box below the theme menu and click the arrow to zoom in. Additionally, clicking anywhere on the interactive map will allow you to zoom into that area.",10.141017
Can you help me find information about different gender identities on this website?,"To find information about different gender identities, open the Atlas map, navigate to the right-hand side pane, and click on the fingerprint icon. This will allow you to filter data by gender categories. However, please note that the current data may only provide breakdowns based on traditional categories of female and male.",10.504462
Where can I explore the various gender categories available here?,"To explore the various gender categories, open the Atlas map, navigate to the right-hand side pane, and click on the fingerprint icon. From there, you can select options like male, female, or all. Please note that the data may currently only provide breakdowns based on traditional categories.",11.30897
How can I find information about different age groups on this website?,"To find information about different age groups, open the Atlas map, navigate to the right-hand side pane, and click on the fingerprint icon. This will allow you to filter data by specific age groups, which you can adjust from 0 to 24 years. Select the options that interest you to view the relevant data.",98.157488
Where can I look for details on specific age categories or ranges?,"To look for details on specific age categories or ranges, open the Atlas map, navigate to the right-hand side pane, and click on the fingerprint icon. From there, you can adjust the age groups according to your interest. Select the options that suit your needs to view the relevant data.",7.310089
Where can I find the latest data for a specific year on this website?,"To find the latest data for a specific year, open the Atlas map, navigate to the top right-hand side pane, and click on the calendar symbol. This will allow you to choose the collection year(s) from the available data collection years. Select the year you are interested in to view the relevant data.",9.016212
How do I filter information by a particular year or range of years here?,"To filter information by a particular year or range of years, open the Atlas map, navigate to the top right-hand side pane, and click on the calendar symbol. From there, you can select the specific year or range of years you wish to view. Once selected, the data will update accordingly.",7.67023
What sections on this website cover information about statistical areas?,"To find information about statistical areas, open the Atlas map, navigate to the right-hand side pane, and click on the map icon. This will allow you to filter data by clicking on SA2, SA3, SA4, or states. You can explore the relevant sections based on the statistical area of interest.",96.972066
How can I find different themes and subcategories related to filters?,"To find different themes and subcategories related to filters, open the Atlas map and navigate to the right-hand side pane. Click on the themes icon to explore available themes, and use the fingerprint icon to apply filters for age, sex, and statistical areas. You can then select the relevant options to refine your data search.",8.938301
